Latitude,Longitude,Elevation,Power
47.7702489,9.1727179,431.0,50.0
47.774761,9.186331,469.0,75.0
47.772492,9.186771,478.0,22.0
47.802296,9.238275,508.0,22.0
47.71599863,9.401641488,426.0,150.0
47.7352242,9.2421401,407.0,50.0
47.6950605,9.2731151,444.0,50.0
47.676297,9.318793,413.0,50.0
47.69381,9.26757,392.0,50.0
47.925027,7.701838,223.0,150.0
47.917596,7.688929,222.0,50.0
47.921855,7.708166,232.0,22.0
47.961942,7.986999,440.0,50.0
48.037763,7.572311,189.0,22.0
47.88882,7.72382,270.0,150.0
47.972639,7.828139,268.0,125.0
47.909055,7.592565,205.0,150.0
47.808867,7.639707,282.0,150.0
47.810887,7.609133,236.0,22.0
47.817417,7.556417,213.0,150.0
47.81023,7.56987,227.0,50.0
47.81246,7.556097,214.0,22.0
47.858417,7.63964,220.0,22.0
47.923368,8.189472,827.0,50.0
47.91711,8.207612,814.0,22.0
47.88619,8.36104,830.0,150.0
47.868029,8.20577,806.0,22.0
47.8976,8.2744,914.0,150.0
47.89759,8.274834,914.0,150.0
48.553697,8.709828,404.0,24.0
48.713117,8.7419091,337.0,50.0
48.705051,8.7640418,476.0,150.0
48.805337,8.444954,350.0,50.0
48.063988,7.900696,250.0,22.0
48.111542,7.851839,204.0,22.0
48.111566,7.851924,204.0,22.0
48.224117,7.765064,170.0,50.0
48.218425,7.76041,170.0,150.0
48.22685,7.75509,169.0,150.0
48.156968,7.745885,173.0,50.0
48.15667,7.74495,173.0,150.0
48.15671,7.74496,173.0,150.0
48.8242181,8.86946547,433.0,150.0
48.817809,8.863332,419.0,22.0
48.966043,8.603242,170.0,22.0
48.908062,8.773745,310.0,50.0
48.907993,8.77373,310.0,150.0
48.862687,8.568358,325.0,22.0
48.862758,8.56894,325.0,22.0
48.942722,8.8134376,228.0,50.0
48.9521,8.8437,240.0,50.0
48.9401,8.8388,233.0,50.0
48.94471,8.843744,225.0,50.0
48.5601,8.48165,747.0,150.0
48.953036,8.85131,240.0,22.0
48.995957,8.798411,246.0,22.0
49.021186,8.7499341,218.0,44.0
48.892153,8.854512,356.0,22.0
48.871832,8.80115,399.0,150.0
48.7015412,9.1432511,425.0,20.0
48.695833,9.168611,423.0,125.0
48.674404,9.167367,416.0,22.0
48.674404,9.167372,416.0,22.0
48.678909,9.1927411,388.0,50.0
48.67728494,9.195762068,384.0,150.0
48.6784098,9.1932634,388.0,150.0
48.677326,9.195356,384.0,22.0
48.628406,9.33426,273.0,50.0
48.6364155,9.346051222,270.0,150.0
48.637378,9.3419,270.0,22.0
48.63354,9.233698,374.0,20.0
48.65199,9.29369,373.0,22.0
48.591285,9.236877,290.0,50.0
48.584895,9.228372,289.0,22.0
48.59763,9.27426,341.0,22.0
47.60193,9.59054,414.0,50.0
48.702885,9.438678,254.0,50.0
48.6526198,9.4598491,309.0,50.0
48.644175,9.429898,323.0,150.0
48.64417,9.42971,323.0,150.0
50.289815,8.976629,121.0,50.0
48.64458133,9.430845984,320.0,150.0
48.642133,9.433339,327.0,150.0
48.6246498,9.527223,373.0,50.0
48.672949,9.364489,259.0,60.0
48.67105979,9.36405875,262.0,62.0
48.67756594,9.365855455,260.0,150.0
48.6203296,9.4537792,345.0,150.0
48.73334,9.31523,237.0,20.0
48.716578,9.355777,242.0,50.0
48.43217,9.21075,568.0,50.0
48.729262,9.33054,244.0,22.0
48.72469863,9.348044953,242.0,50.0
48.717547,9.342327,239.0,50.0
48.741259,9.269032,235.0,50.0
48.73725726,9.293221622,234.0,62.0
48.7047248,9.249055,354.0,150.0
48.712745,9.308847698,352.0,150.0
48.693875,9.303797,331.0,50.0
48.693887,9.303839,331.0,150.0
48.693667,9.303297,331.0,150.0
48.694426,9.328111,272.0,22.0
48.714681,9.3797411,247.0,50.0
48.71507822,9.377700195,246.0,150.0
48.457275,8.696273,494.0,50.0
48.45784031,8.69611752,491.0,150.0
48.441571,8.680929,392.0,22.0
48.465466,8.425653,699.0,150.0
48.462108,8.437326,669.0,50.0
