Latitude,Longitude,Elevation,Power
49.4652,8.56261,103.0,150.0
49.52612353,8.48418294,97.0,150.0
49.54756,8.456839,95.0,150.0
49.550115,8.449075,97.0,150.0
49.5505082,8.4502523,96.0,150.0
49.50707,8.51633,102.0,150.0
49.436805,11.8574382,380.0,150.0
49.30284804,10.58365023,404.0,150.0
49.973361,9.183412,232.0,150.0
49.884222,10.915056,241.0,150.0
49.91038,10.88115,237.0,150.0
49.90785,10.878875,238.0,150.0
49.9092,11.6067,401.0,150.0
50.287061,10.98083,321.0,150.0
50.271649,10.969435,296.0,150.0
50.24318,10.96929,288.0,150.0
50.27982,10.97389,317.0,150.0
50.275996,10.983716,299.0,150.0
50.285583,10.982471,319.0,150.0
50.275817,10.983541,298.0,150.0
50.286827,10.984585,320.0,150.0
49.592885,11.014479,282.0,150.0
49.544121,11.02872,307.0,150.0
49.545269,11.030357,304.0,150.0
49.449196,10.991644,298.0,150.0
49.467472,10.995139,299.0,150.0
49.452384,11.001278,298.0,150.0
49.480845,10.975902,297.0,150.0
49.468266,10.958465,311.0,150.0
49.50108,10.96613,304.0,150.0
50.322868,11.92288,476.0,150.0
50.2873433,11.92415714,493.0,150.0
49.48490366,11.09331629,313.0,150.0
49.47527,11.104245,319.0,150.0
49.434944,11.041028,315.0,150.0
49.43538,11.05947,312.0,150.0
49.42796356,11.06160271,311.0,150.0
49.399145,11.038398,308.0,150.0
49.372028,11.081889,337.0,150.0
49.430973,11.100856,322.0,150.0
49.410389,11.14,334.0,150.0
49.40136,11.11606,338.0,150.0
49.41367,11.11807,331.0,150.0
49.41812057,11.10892402,326.0,150.0
49.593667,11.143917,303.0,150.0
49.42746038,11.14334161,330.0,150.0
49.456361,11.121444,314.0,150.0
49.457844,11.092907,318.0,150.0
49.02642973,12.1154781,340.0,150.0
49.030006,12.125659,337.0,150.0
49.028468,12.107743,333.0,150.0
49.321139,11.04966,341.0,150.0
50.02889244,10.2369082,210.0,150.0
50.02893724,10.23701012,210.0,150.0
50.02890278,10.23707986,210.0,150.0
50.02887521,10.23701012,210.0,150.0
50.02885109,10.23694038,210.0,150.0
50.021655,10.216618,207.0,150.0
50.02151,10.21581,206.0,150.0
50.03104,10.22985,210.0,150.0
49.68616804,12.13079989,406.0,150.0
49.68616457,12.13080525,406.0,150.0
49.68616804,12.13082135,406.0,150.0
49.68617498,12.13080525,406.0,150.0
49.68618539,12.13080525,406.0,150.0
49.79161,9.99531,235.0,150.0
49.7983,9.99306,241.0,150.0
49.79734,9.95908,191.0,150.0
49.76139,9.95988,182.0,150.0
49.77651,9.94042,183.0,150.0
49.79760296,9.987158776,232.0,150.0
49.797548,9.918745,184.0,150.0
49.4242148,11.6904662,571.0,150.0
49.422812,11.687899,576.0,150.0
49.06967,10.32721,441.0,150.0
49.25871664,10.50156176,478.0,150.0
49.242629,10.352944,522.0,150.0
49.241155,10.356121,523.0,150.0
49.374842,10.235117,433.0,150.0
49.485178,10.213617,401.0,150.0
49.484956,10.211154,402.0,150.0
49.445052,10.247026,410.0,150.0
49.44476113,10.25098464,404.0,150.0
50.04758,9.047158,111.0,150.0
49.993589,9.173334,132.0,150.0
49.99449,9.07018,114.0,150.0
49.99449,9.07008,114.0,150.0
49.99462,9.07,114.0,150.0
49.99465,9.07009,114.0,150.0
49.986561,9.084146,117.0,150.0
50.003216,9.237995,154.0,150.0
49.898302,9.394346,462.0,150.0
50.1800788,10.0783839,216.0,150.0
50.20922,10.08014,239.0,150.0
50.14459,10.15397,316.0,150.0
49.917785,10.869153,236.0,150.0
49.91793426,10.87307453,238.0,150.0
49.819859,11.000909,256.0,150.0
49.74648746,10.63394064,291.0,150.0
49.973333,10.8750583,240.0,150.0
49.97333,10.8751216,240.0,150.0
49.66416,11.47072,450.0,150.0
49.96995,11.61119,361.0,150.0
49.33348,12.52355,464.0,150.0
49.201764,12.664743,372.0,150.0
50.217935,10.825708,281.0,150.0
50.1987,10.96634,285.0,150.0
50.19865,10.96645,285.0,150.0
50.178852,10.907926,340.0,150.0
50.325249,11.111132,330.0,150.0
50.28903079,11.01855755,327.0,150.0
50.28893482,11.01853073,327.0,150.0
50.28883885,11.01861119,327.0,150.0
50.28884913,11.0185951,327.0,150.0
50.28874974,11.01864338,327.0,150.0
50.295118,10.980004,324.0,150.0
49.62719,10.92281,283.0,150.0
49.62656816,10.92318791,281.0,150.0
49.692286,10.943354,316.0,150.0
49.731308,10.728365,353.0,150.0
49.730719,10.726875,348.0,150.0
49.69834,11.06425,262.0,150.0
49.43534651,10.96693039,313.0,150.0
49.50469,10.89338,299.0,150.0
50.093442,10.782796,273.0,150.0
49.984833,10.668524,229.0,150.0
50.32466,11.78438,601.0,150.0
50.32478,11.78442,601.0,150.0
50.32485,11.78443,601.0,150.0
50.371853,11.787816,637.0,150.0
49.768953,10.470806,360.0,150.0
49.778239,10.069186,313.0,150.0
49.778232,10.069073,309.0,150.0
49.778131,10.065765,314.0,150.0
49.780852,10.244797,225.0,150.0
49.779352,10.246493,229.0,150.0
49.768285,10.34219,263.0,150.0
