Latitude,Longitude,Altitude
51.6914233,10.021505,226.0
51.6930466,10.0148782,306.0
51.688716,10.0138119,290.0
50.2024745,8.5825799,202.0
49.6241351,9.9479684,278.0
51.3338734,12.3700879,119.0
49.2154289,8.6193438,116.0
51.8680661,12.6402489,76.0
50.5638943,8.6275244,183.0
50.0823561,8.6637168,124.0
50.1404674,8.4968346,146.0
50.284812,8.4891158,454.0
50.1192647,8.7031347,116.0
49.6095862,9.4615254,319.0
49.7182094,11.0603474,262.0
50.0633706,10.24527,283.0
52.356284,9.8285122,68.0
51.3321001,12.3695932,115.0
49.4175787,11.7792637,484.0
49.2419601,11.2126526,388.0
49.2411842,11.2137884,380.0
49.3626468,11.2533305,372.0
52.4553467,9.5478147,51.0
49.9756079,9.1425259,132.0
50.2066417,8.5777608,214.0
49.5323881,9.5776771,372.0
52.3587967,9.856972,73.0
50.0027747,10.8634779,340.0
49.9687362,9.1764275,188.0
52.1916286,9.8927645,118.0
50.1970942,8.5476829,294.0
50.2291579,8.6105053,194.0
50.1334276,9.972017,216.0
50.3085373,11.9231853,494.0
49.5541858,11.1200052,406.0
49.3319275,8.6603059,115.0
52.3223517,9.1965865,74.0
49.3274384,8.6555115,116.0
49.3270877,8.6555649,116.0
50.8704721,12.4603913,235.0
49.7197267,11.0339981,277.0
50.4967445,12.13376,353.0
51.0610361,12.5532264,161.0
49.8665715,8.6662536,174.0
49.5277678,8.723363,317.0
52.2630207,10.4083528,74.0
49.3163739,10.7946514,431.0
49.7241601,11.0646915,268.0
51.2858319,9.6198508,200.0
50.530406,8.6766449,172.0
49.8171874,8.6422806,119.0
49.8006358,9.9541389,187.0
49.7766281,9.1682848,156.0
52.2574566,10.3668563,81.0
50.9285589,11.5841488,166.0
49.487318,11.2507547,331.0
49.1998736,9.5031067,231.0
52.3420229,9.8311171,81.0
50.0495825,10.2159736,235.0
49.2991437,11.421554,436.0
49.1614594,9.5849834,467.0
52.1431901,8.6132441,80.0
52.4759417,9.6676366,60.0
52.4578862,10.5775318,61.0
49.0592894,8.4156907,119.0
49.9612378,9.1137388,117.0
49.9619773,9.1135515,117.0
49.9627429,9.1134354,118.0
49.9602758,9.1139458,119.0
52.4074178,9.5934991,45.0
51.3152729,12.320381,120.0
49.9294212,11.4702461,441.0
51.7290017,10.2504589,218.0
49.4477264,8.6901658,311.0
