Latitude,Longitude,Rated_output,Socket_1,P1,Socket_2,P2,Socket_3,P3,Socket_4,P4,Elevation
48.100803,9.770889,44,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,565
48.085908,9.798514,44,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,538
48.100104,9.790221,30,"AC Steckdose Typ 2, AC Schuko",22,"AC Steckdose Typ 2, AC Schuko",22,,,,,533
48.074218,9.822431,73,"DC Kupplung Combo, DC CHAdeMO",50,AC Steckdose Typ 2,22,,,,,540
48.1019121,9.7913824,73,"DC Kupplung Combo, DC CHAdeMO",50,AC Steckdose Typ 2,22,,,,,534
48.101806,9.791472,30,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,534
48.1014959,9.7917428,30,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,532
48.094534,9.793076,30,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,530
48.094534,9.793076,30,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,530
48.1107227,9.7784875,22,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,600
48.104182,9.7958,11,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,530
48.082535,9.778674,44,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,585
48.098737,9.766662,44,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,578
48.104791,9.773605,44,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,578
48.10341,9.806838,44,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,594
48.099417,9.793556,22,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,534
48.096138,9.785605,22,"AC Steckdose Typ 2, AC Schuko",22,"AC Steckdose Typ 2, AC Schuko",22,,,,,536
48.097266,9.791612,22,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,534
48.080056,9.805233,39.6,DC Kupplung Combo,22,AC Steckdose Typ 2,11,,,,,537
48.070844,9.947454,30,"AC Steckdose Typ 2, AC Schuko",22,"AC Steckdose Typ 2, AC Schuko",22,,,,,580
48.069766,9.953367,73,"DC Kupplung Combo, DC CHAdeMO",50,AC Steckdose Typ 2,22,,,,,577
48.073385,9.948276,39.6,DC Kupplung Combo,22,AC Steckdose Typ 2,11,,,,,575
48.110326,9.944458,13.2,AC Steckdose Typ 2,11,,,,,,,553
48.066473,9.609979,30,"AC Steckdose Typ 2, AC Schuko",22,"AC Steckdose Typ 2, AC Schuko",22,,,,,587
48.08846,9.652113,30,"AC Steckdose Typ 2, AC Schuko",22,"AC Steckdose Typ 2, AC Schuko",22,,,,,588
48.0665,9.6101,30,"AC Steckdose Typ 2, AC Schuko",22,"AC Steckdose Typ 2, AC Schuko",22,,,,,588
48.003414,9.658568,22,AC Kupplung Typ 2,22,,,,,,,567
48.003414,9.658568,22,AC Kupplung Typ 2,22,,,,,,,567
48.003414,9.658568,22,AC Kupplung Typ 2,22,,,,,,,567
48.003414,9.658568,22,AC Kupplung Typ 2,22,,,,,,,567
48.003414,9.658568,22,AC Kupplung Typ 2,22,,,,,,,567
48.0065,9.65591,30,"AC Steckdose Typ 2, AC Schuko",22,"AC Steckdose Typ 2, AC Schuko",22,,,,,572
48.004245,9.652649,30,"AC Steckdose Typ 2, AC Schuko",22,"AC Steckdose Typ 2, AC Schuko",22,,,,,579
47.993,9.98683,22,"AC Steckdose Typ 2, AC Kupplung Typ 2",22,"AC Steckdose Typ 2, AC Kupplung Typ 2",22,,,,,637
47.993,9.98683,22,"AC Steckdose Typ 2, AC Kupplung Typ 2",22,"AC Steckdose Typ 2, AC Kupplung Typ 2",22,,,,,637
47.993,9.98683,22,"AC Steckdose Typ 2, AC Kupplung Typ 2",22,"AC Steckdose Typ 2, AC Kupplung Typ 2",22,,,,,637
47.993,9.98683,22,"AC Steckdose Typ 2, AC Kupplung Typ 2",22,"AC Steckdose Typ 2, AC Kupplung Typ 2",22,,,,,637
48.013527,10.031169,30,"AC Steckdose Typ 2, AC Schuko",22,"AC Steckdose Typ 2, AC Schuko",22,,,,,602
47.955148,9.940088,30,"AC Steckdose Typ 2, AC Schuko",22,"AC Steckdose Typ 2, AC Schuko",22,,,,,677
47.9753074,9.9403362,30,"AC Steckdose Typ 2, AC Schuko",22,"AC Steckdose Typ 2, AC Schuko",22,,,,,654
48.18667,9.83276,44,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,508
48.174367,9.793933,30,"AC Steckdose Typ 2, AC Schuko",22,"AC Steckdose Typ 2, AC Schuko",22,,,,,523
47.986925,9.771755,98,AC Kupplung Typ 2,43,"DC Kupplung Combo, DC CHAdeMO",50,DC Kupplung Combo,50,,,582
48.002722,9.823643,30,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,585
