Latitude,Longitude,Elevation,Power
48.480387,9.980588,597.0,22.0
48.483158,9.985855,589.0,11.0
48.464484,9.760458,694.0,22.0
48.498819,10.029118,559.0,22.0
48.51626,9.759398,705.0,150.0
48.51461078,9.758304987,704.0,150.0
48.51649866,9.758775424,706.0,22.0
48.542435,10.02037,578.0,22.0
48.515922,10.172538,508.0,22.0
48.280578,9.977956,532.0,22.0
48.2995,9.99078,498.0,50.0
48.30245,9.979794,526.0,22.0
48.299732,10.000902,533.0,22.0
48.552305,9.996752,587.0,22.0
48.51919,9.954191,541.0,22.0
48.233968,9.644065,515.0,22.0
48.29141,9.71978,531.0,11.0
48.28361219,9.741170485,531.0,22.0
48.309956,9.613892,684.0,22.0
48.283056,9.70439,513.0,22.0
48.283966,9.729368,517.0,22.0
48.2820523,9.7123272,512.0,50.0
48.2838257,9.7303316,519.0,22.0
48.284112,9.720718,513.0,50.0
48.271857,9.730151,493.0,22.0
48.28298585,9.722937942,505.0,22.0
48.28293944,9.722878933,505.0,22.0
48.262532,9.735061,506.0,22.0
48.253882,9.583864,520.0,22.0
48.282088,9.710444,513.0,22.0
48.666271,9.635715,398.0,22.0
48.236181,9.65134,504.0,22.0
48.36996,9.73219,534.0,22.0
48.364831,9.7117115,563.0,22.0
48.37562,9.73393,538.0,50.0
48.301852,9.832413,490.0,22.0
48.1861,9.69115,525.0,50.0
48.2323649,9.6840137,531.0,22.0
48.238221,9.607655,524.0,22.0
48.204579,9.689108,508.0,22.0
48.204572,9.689049,508.0,22.0
48.09543,9.7922,532.0,22.0
48.091663,9.802962,534.0,22.0
48.091656,9.8028755,534.0,22.0
48.100803,9.770889,565.0,22.0
48.085908,9.798514,538.0,22.0
48.100104,9.790221,533.0,22.0
48.074218,9.822431,540.0,50.0
48.1019121,9.7913824,534.0,50.0
48.101806,9.791472,534.0,22.0
48.1014959,9.7917428,532.0,22.0
48.094534,9.793076,530.0,22.0
48.1107227,9.7784875,600.0,22.0
48.104182,9.7958,530.0,11.0
48.082535,9.778674,585.0,22.0
48.098737,9.766662,578.0,22.0
48.104791,9.773605,578.0,22.0
48.10341,9.806838,594.0,22.0
48.099417,9.793556,534.0,22.0
48.096138,9.785605,536.0,22.0
48.097266,9.791612,534.0,22.0
48.080056,9.805233,537.0,22.0
48.070844,9.947454,580.0,22.0
48.069766,9.953367,577.0,50.0
48.073385,9.948276,575.0,22.0
48.110326,9.944458,553.0,11.0
48.066473,9.609979,587.0,22.0
48.08846,9.652113,588.0,22.0
